rank,first_name,last_name,club,positions,playerType,age,dob,careerGames,gamesPlayed,Avg,Last3_Avg,Last5_Avg,HighScore,LowScore,R1_12_Games,R1_12_Avg,R13_24_Games,R13_24_Avg,PointsPerMinute,Tog%,CbaAvg,KickInPoAvg,KickInAvg,centreClearances,contestedPossessionRate,disposalEfficiency,interceptMarks,intercepts,debutYear,draftYear,draftType,draftPosition,id
,Noah,Anderson,GCS,MID,MIDFIELDER,24,17/02/2001,129,22,114.5,83,104.8,164,55,11,115.1,11,109.5,1.046,86.3,83.2,0,0,3,41.3,70.1,0.2,3,2020,2019,nationalDraft,2,CD_I1009199
,Andrew,Brayshaw,FRE,MID,MIDFIELDER,26,8/11/1999,170,23,113.9,100.3,102.8,157,80,12,122,11,105.1,1.103,82.2,77.3,0,0,2,40.1,74.7,0.3,3.3,2018,2017,nationalDraft,2,CD_I1002232
,Jordan,Dawson,ADE,MID,MIDFIELDER,28,9/04/1997,156,23,113,115.7,121,157,60,12,109.3,11,116.9,1.056,84.2,75.3,0,0,2,42,63.4,0.8,3.2,2017,2015,nationalDraft,56,CD_I992242
,Luke,Jackson,FRE,RUC,RUCK,24,29/09/2001,119,20,113,79.7,100.8,186,57,9,119,11,108,1.097,81.9,67.4,0,0,1.2,53.4,74.5,1,2.7,2020,2019,nationalDraft,3,CD_I1009399
,George,Hewett,CAR,MID,MIDFIELDER,30,29/12/1995,202,23,112.2,111,112.4,171,64,11,114.5,12,110.1,1.106,80.6,76.3,0,0,2.6,46.7,75,0.3,2.6,2016,2013,nationalDraft,32,CD_I294036
,Jack,Sinclair,STK,DEF,MEDIUM_DEFENDER,30,12/02/1995,210,23,112.1,122,125.2,162,65,12,115.9,11,107.9,1.043,85.3,8,5.3,5.3,0.3,29,80.6,0.5,4.7,2015,2015,rookieElevation,,CD_I994389
,Finn,Callaghan,GWS,MID,MIDFIELDER,22,26/04/2003,71,20,111.9,125.7,125.6,145,55,9,99.1,10,120.2,1.084,80.9,76.1,0,0,2.2,30.8,73.2,0.6,2.9,2022,2021,nationalDraft,3,CD_I1023266
,Ed,Richards,WBD,MID,MIDFIELDER,26,3/07/1999,148,23,111.3,120.3,115.6,156,62,11,113.7,12,109.1,1.063,82.2,74.1,0,0,2.5,42.1,68.3,0.2,2.4,2018,2017,nationalDraft,16,CD_I1008280
,Darcy,Cameron,COL,RUC,RUCK,30,18/07/1995,120,23,111.3,110.3,110,164,70,11,103.5,11,114.3,1.111,80.3,78.3,0,0,1.2,58.4,64.4,2.8,4.9,2018,2016,nationalDraft,48,CD_I990291
,Tim,English,WBD,RUC,RUCK,28,10/08/1997,154,23,111,117.3,128.4,202,58,11,102.4,12,119,1.042,83.5,82.9,0,0,1.9,42.1,71.7,1.5,3,2017,2016,nationalDraft,19,CD_I1004592
,Tom,Liberatore,WBD,MID,MIDFIELDER,33,16/05/1992,257,23,111,98.7,101.6,171,60,11,119.2,12,103.5,1.096,79.7,68.4,0,0,3.2,46.3,71.8,0.2,2.8,2011,2010,fatherSon,41,CD_I290799
,Tom,Green,GWS,MID,MIDFIELDER,24,23/01/2001,115,22,110.9,111.7,101.4,150,79,11,108.5,11,113.2,1.058,82.5,78.1,0,0,2.4,52.3,69.4,0.2,2.7,2020,2019,nationalDraft,10,CD_I1009528
,Max,Holmes,GEE,MID,MIDFIELDER,23,29/08/2002,102,23,110.9,103.7,119,155,70,12,104.2,11,118.1,1.089,80.3,66.9,0.8,1,2.3,39.6,68.7,0.5,4,2021,2020,nationalDraft,20,CD_I1015889
,Lachie,Whitfield,GWS,DEF,MEDIUM_DEFENDER,31,18/07/1994,257,22,110.7,128.7,124.4,176,16,11,114,10,107.1,1.112,78.5,0.2,5,5.4,0.2,22.7,80.9,0.9,4.9,2013,2012,nationalDraft,1,CD_I294305
,Isaac,Heeney,SYD,MID,MIDFIELDER,29,5/05/1996,224,23,109.7,109.7,108.2,197,75,11,100.4,11,119.5,1.034,84,74.7,0,0,2.5,50.4,67,0.3,1.8,2015,2014,nationalDraft,18,CD_I298539
,Touk,Miller,GCS,MID,MIDFIELDER,29,22/02/1996,214,20,108.3,118.7,104.6,146,45,11,109.1,9,110,1.097,78.3,50.8,0,0,2.2,41.8,72.1,0.1,1.9,2015,2014,nationalDraft,29,CD_I298272
,Zach,Merrett,ESS,MID,MIDFIELDER,30,3/10/1995,251,21,107.7,111.3,103,172,65,11,111,10,104.3,1.003,86.9,63,0.5,0.7,1.5,34.3,69.7,0.2,2.6,2014,2013,nationalDraft,26,CD_I992016
,Lachie,Ash,GWS,DEF,MEDIUM_DEFENDER,24,21/06/2001,125,23,107.7,87.3,97,140,43,11,110.5,11,103.7,1.018,82.9,1,4.8,5,0.2,22.4,80.7,0.7,4.8,2020,2019,nationalDraft,4,CD_I1009253
,Harry,Sheezel,NTH,MID/FWD,MIDFIELDER_FORWARD,21,13/10/2004,67,23,107.3,131.7,125,185,60,11,100.4,12,113.6,0.959,86.1,35.4,0.7,0.7,1.2,30,72.6,0.4,2.9,2023,2022,nationalDraft,3,CD_I1023518
,Lachie,Neale,BRL,MID,MIDFIELDER,32,24/05/1993,294,20,106,115.3,116.4,143,41,12,105.8,8,106.1,0.982,82.4,80.6,0,0,2.2,45.4,70.7,0.2,3,2012,2011,nationalDraft,58,CD_I293535
,Rowan,Marshall,STK,RUC,RUCK,30,24/11/1995,156,23,105.8,112.7,115.2,179,52,12,97.4,11,114.9,0.981,85.6,83.4,0,0,1.6,48.2,61.4,0.9,2.4,2017,2016,rookieElevation,10,CD_I992468
,Caleb,Serong,FRE,MID,MIDFIELDER,24,9/02/2001,127,23,105.7,109.7,101.8,149,63,12,105.5,11,105.8,1.008,83.2,81.5,0,0,3.8,52.7,65.9,0.3,2.8,2020,2019,nationalDraft,8,CD_I1009420
,Jarrod,Witts,GCS,RUC,RUCK,33,13/09/1992,205,21,105,113,106,163,54,11,100.5,10,109.6,0.978,85,82.9,0,0,1,66.8,63.1,0.4,1.4,2013,2011,other,67,CD_I291975
,Connor,Rozee,PTA,DEF/MID,MEDIUM_DEFENDER,25,22/01/2000,150,21,105,103.7,91.6,150,53,11,104.9,10,105.2,0.96,85.9,36.4,2.7,2.7,1,30,68.9,1.1,3.9,2019,2018,nationalDraft,5,CD_I1001299
,Jordan,Clark,FRE,DEF,MEDIUM_DEFENDER,25,16/10/2000,126,23,105,90.7,93,146,50,12,107.3,11,102.4,0.931,89.8,0.3,2.5,2.7,0.1,32.7,75.6,1.5,6.4,2019,2018,nationalDraft,15,CD_I1006152
,Errol,Gulden,SYD,MID,MIDFIELDER,23,18/07/2002,103,10,104.7,96,99.2,146,73,0,0,10,104.7,0.972,85.8,19.2,0.1,0.3,0.8,31,71.4,0.6,3.2,2021,2020,nationalDraft,32,CD_I1013128
,Rory,Laird,ADE,DEF,MEDIUM_DEFENDER,32,29/12/1993,269,20,103.3,122.3,113.8,141,58,11,96.8,9,111.2,0.995,81,2.5,0.2,0.2,0.3,32.3,80.8,1.4,6,2013,2013,rookieElevation,86,CD_I293222
,Dayne,Zorko,BRL,DEF,MEDIUM_DEFENDER,36,9/02/1989,304,23,102.6,92.3,88.6,166,65,12,108.7,11,96,0.97,83.7,0,4.7,5,0.2,24.1,77.6,1.3,5.3,2012,2011,other,,CD_I261224
,Bailey,Dale,WBD,DEF,MEDIUM_DEFENDER,29,22/07/1996,178,23,102.5,101,99.4,144,65,11,105.9,12,99.4,0.972,82.9,0.1,5.2,5.5,0.3,26,81.4,1.5,6,2015,2014,nationalDraft,45,CD_I996708
,Lloyd,Meek,HAW,RUC,RUCK,27,22/04/1998,77,22,101.7,99,96.8,161,43,10,93.2,11,107.3,0.97,83,85.3,0,0,1.6,61.7,68.3,0.5,1.7,2021,2017,nationalDraft,69,CD_I1000980
,Nick,Blakey,SYD,DEF,MEDIUM_DEFENDER,25,27/02/2000,151,23,101.4,115.7,113.4,155,45,11,86.4,11,114.5,0.932,86.1,0,4.9,5,0.1,25.9,77.6,2.4,6.3,2019,2018,nationalDraft,10,CD_I1006028
,Jack,Macrae,STK,MID,MIDFIELDER,31,3/08/1994,270,21,100.9,80.7,84.2,162,60,10,107.6,11,94.8,1.077,74.1,67.2,0,0,2,51.3,71.3,0.1,2.7,2013,2012,nationalDraft,6,CD_I295467
,Will,Ashcroft,BRL,MID,MIDFIELDER,21,6/05/2004,58,23,100.7,96.7,90.8,136,43,12,103.3,11,97.9,0.976,82.2,51.9,0,0,2.1,38.2,70.5,0.1,1.7,2023,2022,fatherSon,2,CD_I1023517
,Jye,Caldwell,ESS,MID,MIDFIELDER,25,28/09/2000,89,11,100.7,110.7,111.4,129,40,7,96.3,4,108.5,1.095,73.9,65.9,0,0,1.9,44.6,69.8,0.1,2.8,2019,2018,nationalDraft,11,CD_I1006103
,Sam,Walsh,CAR,MID,MIDFIELDER,25,2/07/2000,133,14,100.5,109,98.8,141,81,11,98.2,3,109,1.012,78.8,56.2,0,0,1.1,39.5,70.7,0,3.1,2019,2018,nationalDraft,1,CD_I1006094
,Izak,Rankine,ADE,MID/FWD,MIDFIELDER_FORWARD,25,23/04/2000,105,22,99.7,112,98.4,138,59,12,99.7,10,99.7,0.921,84.8,40.1,0,0,1.1,53.7,61.3,0.2,2.7,2020,2018,nationalDraft,3,CD_I1001195
,Callum,Mills,SYD,DEF,MEDIUM_DEFENDER,28,2/04/1997,174,12,99.4,104.3,112.6,125,55,1,69,11,102.2,0.958,82.3,1.5,3.3,3.3,0.3,26.6,82.8,1.2,4.8,2016,2015,nationalDraft,3,CD_I993905
,Will,Day,HAW,MID,MIDFIELDER,24,5/06/2001,76,6,99,97.7,89.2,148,76,3,85.3,2,95,1.04,75,68.3,0,0,1.5,57.3,71.4,1,3.3,2020,2019,nationalDraft,13,CD_I1008550
,Tim,Taranto,RIC,MID,MIDFIELDER,27,28/01/1998,173,21,98.4,79.7,102,146,60,12,98.2,9,98.8,0.919,85.3,82,0,0,1.7,47.5,68.6,0.2,2.1,2017,2016,nationalDraft,2,CD_I998172
